date,三联书店三联书情,新星出版社,上海译文,中信出版集团,人民文学出版社,北京大学出版社,商务印书馆,译林出版社,北大博雅好书,中华书局1912,人民教育出版社,浙江教育出版社,上海外语教育出版社,甘肃教育出版社,广东教育出版社,黑龙江教育出版社,山西教育出版社,上海教育出版社,河北教育出版社,高等教育出版社
2015-04-04,3,9,10,7,8,10,8,7,7,0,1,1,0,8,7,7,7,2,5,0
2015-04-11,6,16,20,15,18,19,19,15,14,0,3,2,1,9,27,14,22,4,5,0
2015-04-18,12,30,30,24,27,29,32,22,23,0,13,3,1,13,44,22,33,5,9,0
2015-04-25,20,41,38,36,45,39,49,30,31,0,18,3,2,18,60,29,45,6,9,0
2015-05-02,25,47,46,45,59,46,57,35,39,0,21,4,2,19,73,37,64,8,9,0
2015-05-09,28,53,55,54,77,57,67,41,46,0,23,4,3,22,89,44,68,10,9,0
2015-05-16,30,61,65,63,92,68,78,47,53,0,25,5,6,23,103,51,76,12,13,0
2015-05-23,32,72,74,75,111,77,92,53,60,0,29,6,11,24,123,58,82,14,17,0
2015-05-30,36,81,86,85,134,92,100,59,67,0,36,7,13,25,139,67,86,15,19,0
2015-06-06,44,89,98,92,155,102,108,64,74,0,44,9,15,25,160,76,92,17,23,0
2015-06-13,46,99,110,100,174,116,116,70,82,0,48,10,15,27,179,84,99,19,27,0
2015-06-20,49,108,121,109,196,130,127,76,91,0,52,12,16,27,196,92,104,21,27,0
2015-06-27,53,116,129,116,200,141,135,80,98,0,53,15,20,27,217,100,115,23,31,0
2015-07-04,60,126,140,125,225,154,146,88,107,0,55,16,23,27,234,108,119,23,31,0
2015-07-11,68,135,155,139,248,168,165,93,116,0,60,17,23,28,251,116,125,25,33,0
2015-07-18,72,145,169,151,269,180,176,99,123,0,64,18,24,33,263,124,130,27,33,0
2015-07-25,76,152,182,164,289,195,185,103,130,0,71,19,27,35,279,133,138,29,37,0
2015-08-01,82,158,189,176,305,209,202,111,137,0,78,20,29,39,300,144,151,31,45,0
2015-08-08,85,167,205,185,325,219,214,120,144,15,84,22,30,40,321,155,162,33,46,0
2015-08-15,92,174,217,205,339,232,227,126,152,31,91,23,35,42,345,166,170,40,46,0
2015-08-22,103,188,233,228,345,244,242,135,158,48,96,23,38,45,367,177,180,51,50,0
2015-08-29,110,198,245,253,356,254,254,142,165,63,99,24,40,47,389,188,189,60,50,0
2015-09-05,113,205,251,272,363,261,262,147,172,72,99,25,43,48,410,197,197,61,55,0
2015-09-12,120,213,263,290,376,273,281,155,182,89,99,26,45,51,434,210,206,63,60,0
2015-09-19,130,222,274,311,393,285,300,159,189,103,99,27,47,56,456,218,214,65,64,0
2015-09-26,133,230,285,332,401,299,321,164,197,119,99,28,48,59,477,227,222,66,67,0
2015-10-03,137,232,291,347,401,307,341,166,204,126,99,28,51,61,499,235,230,69,67,0
2015-10-10,143,237,296,363,410,311,360,169,211,136,99,30,52,62,520,243,236,70,72,0
2015-10-17,146,245,309,384,425,319,375,173,217,152,99,31,53,64,540,251,244,72,72,0
2015-10-24,153,252,320,404,434,331,390,181,224,167,101,33,57,66,561,260,253,74,74,0
2015-10-31,158,258,335,427,446,347,406,188,234,182,102,34,83,69,582,268,263,76,79,0
2015-11-07,163,268,346,449,455,359,417,192,240,200,103,35,89,72,604,281,271,78,85,0
2015-11-14,169,277,359,472,467,369,445,196,246,219,103,36,93,74,625,296,281,81,85,0
2015-11-21,173,285,374,494,484,388,467,202,255,239,104,37,94,76,642,310,288,83,85,0
2015-11-28,178,293,386,515,499,406,486,209,263,258,105,38,95,79,663,325,297,85,90,0
2015-12-05,184,299,399,537,508,415,515,214,269,276,109,39,95,81,684,342,305,87,90,0
2015-12-12,189,306,407,562,520,425,537,221,278,294,111,39,98,83,705,355,311,89,95,0
2015-12-19,194,312,415,582,532,437,548,226,292,312,114,40,99,85,717,370,320,91,95,0
2015-12-26,199,321,427,604,542,446,574,229,299,330,118,41,102,87,732,383,327,94,97,0
2016-01-02,207,327,436,627,551,452,592,233,306,348,121,41,104,90,743,397,334,95,102,0
2016-01-09,212,333,447,648,562,458,613,242,313,369,125,43,104,93,758,409,339,97,104,0
2016-01-16,216,341,459,666,577,465,630,250,320,388,126,44,107,96,775,422,346,100,107,3
2016-01-23,220,349,471,685,585,472,650,256,329,406,127,45,114,99,792,435,364,101,107,4
2016-01-30,225,355,485,702,597,479,662,263,336,432,128,46,115,101,807,448,370,103,108,6
2016-02-06,233,360,493,718,602,486,674,267,343,450,128,50,116,104,817,460,377,104,110,9
2016-02-13,233,366,493,725,602,489,683,268,351,460,128,51,117,104,825,474,379,106,110,11
2016-02-20,236,372,501,744,609,495,694,278,358,472,128,53,119,106,839,483,382,108,111,14
2016-02-27,239,379,508,762,619,504,703,283,366,491,131,53,123,107,858,497,389,110,113,16
2016-03-05,245,384,525,780,629,515,717,291,373,507,133,53,126,112,877,511,397,112,115,19
2016-03-12,250,390,539,801,639,532,731,297,381,525,137,54,129,127,896,526,404,112,115,22
