date,三联书店三联书情,新星出版社,上海译文,中信出版集团,人民文学出版社,北京大学出版社,商务印书馆,译林出版社,北大博雅好书,中华书局1912,人民教育出版社,浙江教育出版社,上海外语教育出版社,甘肃教育出版社,广东教育出版社,黑龙江教育出版社,山西教育出版社,上海教育出版社,河北教育出版社,高等教育出版社
2015-04-04,3,7,5,6,2,5,6,6,7,0,1,1,0,1,2,7,3,2,2,0
2015-04-11,6,13,10,12,6,10,13,10,14,0,2,2,1,2,7,14,9,4,2,0
2015-04-18,10,20,15,17,10,16,20,15,21,0,6,3,1,4,11,21,14,5,3,0
2015-04-25,15,27,20,23,16,22,27,20,28,0,8,3,2,6,16,28,20,6,3,0
2015-05-02,19,33,25,29,21,28,34,24,35,0,9,4,2,7,20,35,27,8,3,0
2015-05-09,22,39,30,35,26,34,40,29,42,0,11,4,3,10,24,42,31,10,3,0
2015-05-16,24,46,36,42,30,41,47,35,49,0,13,5,5,11,28,49,35,12,4,0
2015-05-23,26,52,41,48,35,47,54,40,56,0,16,6,9,12,33,56,38,14,5,0
2015-05-30,30,59,47,54,41,53,61,45,63,0,20,7,11,13,38,63,41,15,6,0
2015-06-06,34,64,53,59,47,59,68,50,70,0,24,8,13,13,44,70,44,17,7,0
2015-06-13,36,71,60,64,52,65,75,55,76,0,28,9,13,15,49,77,48,19,8,0
2015-06-20,39,77,66,70,58,71,82,60,83,0,32,10,14,15,54,84,51,21,8,0
2015-06-27,43,82,70,75,62,77,89,64,90,0,33,11,15,15,60,91,56,23,9,0
2015-07-04,48,89,76,80,69,83,96,69,97,0,35,12,16,15,66,98,58,23,9,0
2015-07-11,53,96,83,87,74,88,103,73,104,0,39,13,16,16,72,105,61,25,10,0
2015-07-18,56,102,89,93,79,95,110,78,111,0,43,14,17,17,77,112,63,27,10,0
2015-07-25,59,109,96,100,84,101,117,82,118,0,48,15,18,19,83,119,67,29,11,0
2015-08-01,63,115,101,106,88,107,124,88,125,0,53,16,20,22,90,126,73,31,13,0
2015-08-08,66,122,108,113,94,113,131,93,132,5,57,17,21,23,97,133,78,33,14,0
2015-08-15,71,128,113,120,98,119,138,98,139,11,61,18,23,25,104,140,82,40,14,0
2015-08-22,76,135,120,127,101,124,145,103,145,17,66,18,25,28,111,147,87,46,15,0
2015-08-29,80,142,125,134,105,130,152,108,152,22,68,19,27,30,118,154,91,50,15,0
2015-09-05,83,149,129,141,108,134,159,112,159,25,68,20,29,31,125,161,95,51,16,0
2015-09-12,89,156,135,148,112,140,165,117,166,31,68,21,31,34,132,168,99,53,17,0
2015-09-19,94,162,141,155,117,146,172,121,172,36,68,22,33,37,139,175,103,55,18,0
2015-09-26,97,168,146,162,120,151,179,126,179,42,68,23,34,40,146,182,107,56,19,0
2015-10-03,99,170,149,169,120,156,185,128,186,45,68,23,37,42,153,189,111,59,19,0
2015-10-10,102,174,152,176,123,159,192,131,193,48,68,24,38,43,160,196,114,60,20,0
2015-10-17,105,180,158,183,128,165,199,135,199,53,68,25,39,45,167,203,118,62,20,0
2015-10-24,109,186,163,189,131,171,206,140,205,58,70,26,42,47,174,210,122,64,21,0
2015-10-31,112,192,169,196,135,178,213,145,211,63,71,27,46,50,181,217,127,66,23,0
2015-11-07,116,199,174,203,138,185,219,149,217,70,72,28,48,53,188,224,131,68,26,0
2015-11-14,120,206,181,210,142,190,226,153,223,77,72,29,52,55,195,231,136,70,26,0
2015-11-21,123,213,187,217,147,196,233,159,230,84,73,30,53,57,201,238,140,72,26,0
2015-11-28,126,220,193,224,152,202,240,164,237,91,74,31,54,60,208,245,145,74,27,0
2015-12-05,130,225,199,231,157,209,247,167,243,98,78,32,54,62,215,252,149,76,27,0
2015-12-12,134,232,204,238,162,215,254,172,250,105,79,32,55,64,222,259,152,78,29,0
2015-12-19,137,238,208,245,166,222,261,177,257,111,82,33,56,66,226,266,156,80,29,0
2015-12-26,140,243,214,252,170,228,268,180,264,118,86,34,59,68,231,273,160,83,30,0
2016-01-02,144,249,219,259,173,233,274,184,271,125,89,34,61,71,234,280,164,84,31,0
2016-01-09,148,254,224,266,176,239,281,189,278,132,93,35,61,74,239,287,167,86,32,0
2016-01-16,152,260,229,273,181,245,288,193,285,139,94,36,63,77,245,294,171,89,33,1
2016-01-23,156,265,236,280,185,251,295,197,292,146,95,37,66,80,251,301,176,90,33,2
2016-01-30,159,270,241,287,189,258,302,202,299,153,96,38,67,82,257,308,179,92,34,3
2016-02-06,163,275,245,293,192,265,309,206,305,160,96,39,68,85,262,315,183,93,35,4
2016-02-13,163,281,245,300,192,268,316,207,312,167,96,40,69,85,268,322,185,95,35,5
2016-02-20,166,287,251,307,198,274,323,214,319,173,96,41,71,87,274,329,188,97,36,6
2016-02-27,169,294,256,314,203,280,330,219,326,180,99,41,74,88,281,336,192,99,38,7
2016-03-05,173,299,263,321,207,286,337,224,333,187,101,41,76,89,288,343,197,101,39,8
2016-03-12,176,305,268,328,212,293,344,228,340,194,105,42,79,92,295,350,200,101,39,9
