date,三联书店三联书情,新星出版社,上海译文,中信出版集团,人民文学出版社,北京大学出版社,商务印书馆,译林出版社,北大博雅好书,中华书局1912,人民教育出版社,浙江教育出版社,上海外语教育出版社,甘肃教育出版社,广东教育出版社,黑龙江教育出版社,山西教育出版社,上海教育出版社,河北教育出版社,高等教育出版社
2015-04-04,616.27,584.47,617.11,522.96,645.27,541.61,566.26,493.13,596.72,0,257.49,259.9,0,107.68,298.91,214.56,343.73,197.56,181.12,0
2015-04-11,531.29,570.46,681.39,583.25,680.78,486.04,565.18,542.22,583.04,0,321.09,226.14,360.92,199.04,308.33,250.05,256.78,205.95,0,0
2015-04-18,716.66,673.13,698.28,666.6,731.32,562.11,695.49,658.61,643.82,0,494.4,292,0,188.78,505.75,231.93,278.07,278.76,238.06,0
2015-04-25,942.98,723.7,805.27,676.96,779.63,612.93,725.44,620.98,729.09,0,457.54,0,314.69,108.81,320.79,342.77,364.13,229.22,0,0
2015-05-02,633.65,768,780.93,679.84,757.44,712.95,715.65,700.12,802.31,0,360.73,290.58,0,78.24,456.37,265.21,307.08,260.17,0,0
2015-05-09,653.15,712.77,784.14,696.14,771.72,588.6,669.09,686.1,693.16,0,410.73,0,301.49,169.09,338.84,259.73,287.85,256.58,0,0
2015-05-16,597.26,645.29,749.71,762.79,841.4,581.62,639.06,669.89,796.26,0,429,266.9,332.32,251.26,358.19,254.19,323.81,282.18,174.61,0
2015-05-23,705.5,648.71,770.1,671.63,734.97,717.9,604.75,649.63,779.16,0,434.34,306.28,472.03,74.04,373.96,304.61,262.33,224,169.69,0
2015-05-30,648.69,670.28,735.66,666.44,742.23,612.45,603.78,706.08,737.39,0,426.43,529.87,403.85,216.11,360.09,235.4,209.67,174.03,278.13,0
2015-06-06,642.28,711.85,747.51,653.83,771.69,625.33,670.69,701.76,784.53,0,387.25,303.32,321.39,0,433.03,281.71,243.58,321.31,206.92,0
2015-06-13,634.87,697.4,794.13,702.24,843.2,648.04,655.01,682.58,846.6,0,420.2,349.45,0,159.64,466.58,250.3,261.24,226.94,147.14,0
2015-06-20,784.81,729.36,764.74,719.98,795.67,724.81,662.95,629.69,744.54,0,366.23,237.67,399.8,0,396.59,264.74,276.97,223.57,0,0
2015-06-27,668.35,713.76,691.05,753.68,820.79,662.48,675.92,705.5,708.99,0,282.63,321.17,392.32,0,396.69,209.97,289.08,236.21,273.84,0
2015-07-04,677.07,717.2,797.87,653.98,824.96,580.19,677.28,695.91,696.69,0,447.96,385.09,426.57,0,675.93,295.95,381.86,0,0,0
2015-07-11,740.69,709.17,811.25,719.98,750.89,641.37,633.01,685.78,766.24,0,407.38,201.57,0,145.52,572.72,214.46,228.7,223.34,240.81,0
2015-07-18,799.94,703.25,806.58,668.62,858.35,703.58,649.45,595.52,809.48,0,441.72,271.93,309.26,261.04,419.74,300.68,318.09,257.45,0,0
2015-07-25,623.5,768.27,737.14,723.09,835.22,720.94,640.05,669.13,736.75,0,417.46,246.3,248.13,207.65,457.71,223.9,254.03,269.95,203.69,0
2015-08-01,727.9,778.93,741.85,663.1,837.76,623.39,659.15,678.86,727.97,0,481.4,418.99,312.4,222.15,433.3,261.94,456.17,280.86,285.94,0
2015-08-08,763.9,677.36,724.1,723.3,775.41,699.87,661.98,651.94,795.8,590.06,500.8,382.67,381.74,156.39,363.84,227.86,376.68,434.95,311.85,0
2015-08-15,665.25,724.91,711.44,732.3,817.87,647.52,660.36,734.3,752.58,682.64,456.81,335.87,369.7,295.02,371.32,201.83,394.28,429.92,0,0
2015-08-22,606.14,637.25,777.4,709.62,728.36,604.83,603.26,611.8,758.52,641.28,505.22,0,277.08,199.04,466.48,369.02,373.82,360.89,181.93,0
2015-08-29,655.19,684.23,775.64,701.04,741.69,586.39,611.19,728.08,749.73,611.9,353.83,266.72,387.88,230.04,426.59,336.53,413.04,363.5,0,0
2015-09-05,685.93,669.03,722.39,718.1,725.91,656.07,591.21,659.36,773.14,575.07,0,343.96,363.61,179.35,586.46,275.25,340.48,219.96,167.14,0
2015-09-12,663.42,680.04,757.99,694.57,806.42,762.81,617.56,672.17,776.01,631.85,0,297.21,302.29,201.06,443.66,316.99,488.17,282,273.45,0
2015-09-19,637.32,668.5,749.6,677.31,822.83,714.45,585.64,660.7,672.57,625,0,293.97,338.8,264.4,455.12,279.94,416.07,247.87,281.6,0
2015-09-26,711.66,688.71,735.17,914.36,797.43,685.28,665.89,724.7,713.89,626.54,0,294.43,558.09,286.74,517.55,265.39,603.75,282.08,262.14,0
2015-10-03,745.69,608.28,677.44,672.6,0,697,748.99,666.98,758.59,573.44,0,0,312.15,215.59,491.27,272.76,464.27,300.62,0,0
2015-10-10,547.95,662.94,767,713.94,837.19,633.98,781.46,655.96,752.82,557.88,0,282.58,199.69,165.07,523.55,296.5,407.22,234.6,287.26,0
2015-10-17,616.05,683.38,796.88,787.34,884.83,709.76,702.39,734.62,738.27,614.28,0,241.89,288.42,494.42,548.4,292.61,511.41,244.01,0,0
2015-10-24,706.98,664.61,682.8,634.8,732.11,663.54,699.04,621.75,696.54,619.88,487.81,285.32,291.17,427.64,480.16,213.65,401.23,253.97,331.52,0
2015-10-31,749.08,697.88,795.03,614.71,851.09,668.5,712.14,672.21,700.51,601.34,452.52,272.19,347.26,292.41,528,302.74,464.79,313.39,322.16,0
2015-11-07,747.78,719.6,726.55,705.64,852.76,685.97,784.58,673.93,768.16,641.74,541.49,232.23,981.61,245.76,539.33,283.67,449.15,222.58,372.28,0
2015-11-14,686.86,743.32,846.35,712.04,848.68,636.15,722.65,649.09,710.4,632.5,0,342.88,565.08,373.41,484.29,260.27,475.74,366.28,0,0
2015-11-21,654.6,711.37,759.83,828,886.09,683.24,722.84,664.34,698.62,665.23,381.96,355.82,309.94,263.92,475.49,287.48,398.88,287.13,0,0
2015-11-28,691.49,709.3,737.02,749.82,925.97,727.44,748.55,613.8,685.58,643.72,313.05,291.44,526.21,373.53,511.06,299.74,443.03,229.22,335.34,0
2015-12-05,730.93,671.63,778.52,862.88,898.02,796.26,709.1,643.73,686.37,659.22,482,254.9,0,273,475.23,322.86,448.83,242.89,0,0
2015-12-12,839.02,738.59,756.62,721.85,845.06,704.26,651.77,682.28,688.88,816.45,461.8,0,358.96,260.23,532.2,320.86,460.37,275.18,347.09,0
2015-12-19,690.09,670.38,729.51,791.1,830.92,714.93,704.3,692.44,630.91,693.02,578.76,264.97,399.41,253.33,452,356.49,407.04,220.91,0,0
2015-12-26,735.82,728.23,796.99,719.57,840.19,853.02,720.8,642.94,669.61,712.58,557.56,378.5,545.43,207.83,479.84,353.66,463.57,339.31,421.49,0
2016-01-02,829.74,743.85,794.89,717.82,834.36,704.4,782.43,762.7,744.15,702.26,370.47,0,592.72,285.78,398.81,356.9,517.42,330.14,303.56,0
2016-01-09,806.92,668.14,777.12,775.02,775.46,829.99,723.32,714.12,795.64,685.81,523.98,336.04,0,316.45,481.68,349.75,477.01,387.79,295.06,0
2016-01-16,774.57,728.1,768.08,722.94,877.28,742.36,731.56,706.32,700.44,665.32,502.45,268.85,514.78,331.52,488.64,312.56,468.99,318.08,310.77,362.29
2016-01-23,618.17,659.63,812.25,754.71,898.04,771.25,711.63,658.15,682.1,697.76,405.53,353.44,483.59,311.67,477.61,290.93,439.24,254.44,0,429.72
2016-01-30,628.16,704.96,726.08,697.09,839.21,740.06,771.19,715.67,685.08,717.62,321.44,403.75,443.69,289.54,459.17,295.36,422.57,374.29,355.62,645.1
2016-02-06,763.95,680.57,736.59,670.64,789.51,762.13,747.45,718.17,710.1,706.21,0,305.05,388.45,352.56,435.96,303.05,426.16,299.59,299.83,330.72
2016-02-13,0,759.1,0,728.18,0,712.08,898.29,675.92,726.8,754.15,0,264.94,324.15,0,418.54,331.69,434.9,335.74,0,530.55
2016-02-20,816.41,723.35,814.47,690.1,901.25,821.98,825.94,700.75,772.38,708.5,0,283.12,530.14,259.9,503.03,306.66,392.36,326.08,278.35,354.24
2016-02-27,759.85,707.07,704.06,714.87,926.88,727.54,766.15,705.06,674.01,736.62,509.72,0,520.11,230.21,513.68,348,425.5,259.73,358.74,260.11
2016-03-05,524.07,548.46,644.57,597.96,700.45,605.45,770,558.18,612.32,584.92,373.24,0,247.91,263.37,436.89,256.83,317.49,259.15,275.19,298.63
2016-03-12,575.76,503.37,596.77,609.39,742.13,610.64,597.44,533.51,543.51,576.56,404.73,242.28,356.56,332.2,436.17,251.54,307.69,0,0,289.33
